Country,Type,Year,AQI
"Shengli, China",City,2018,34.9
"Loudi, China",City,2018,30.6
"Jimo, China",City,2018,32.8
"Rust'avi, Georgia",City,2018,33.05
"Surabaya, Indonesia",City,2018,36.266666666666666
"Valjevo, Serbia",City,2018,38.03333333333334
"Weaverville, USA",City,2018,17.6
"Maanshan, China",City,2018,43.8
"Jijiang, China",City,2018,34.5
"Jurong, China",City,2018,50.7
"Erzurum, Turkey",City,2018,34.35
"Beijing, China",City,2018,50.9
"Yiyang, China",City,2018,33.3
"Jiaozhou, China",City,2018,41.9
"Malard, Iran",City,2018,29.5
"Yangzhou, China",City,2018,48.2
"Almaty, Kazakhstan",City,2018,36.75
"Lukavica, Bosnia Herzegovina",City,2018,34.1
"Tongling, China",City,2018,47.1
"Shadgan, Iran",City,2018,32.4
"Wuhu, China",City,2018,48.8
"Xingbin Qu, China",City,2018,39.5
"Taizhou, China",City,2018,47.9
"Tongchuan, China",City,2018,46.3
"Hanting, China",City,2018,34.0
"Guangan, China",City,2018,32.6
"San Juan de Lurigancho, Peru",City,2018,28.2
"Yerevan, Armenia",City,2018,28.099999999999998
"Xiaogan, China",City,2018,43.9
"Jiangyin, China",City,2018,48.8
"Thogummi, India",City,2018,32.53333333333333
"Chuzhou, China",City,2018,49.7
"Tieling, China",City,2018,38.2
"Andimeshk, Iran",City,2018,39.2
"Arak, Iran",City,2018,24.566666666666663
"Ulaanbaatar, Mongolia",City,2018,58.5
"Ekurhuleni, South Africa",City,2018,33.8
"Konya, Turkey",City,2018,32.56666666666667
"Abu Dhabi, United Arab Emirates",City,2018,48.8
"Chaohu, China",City,2018,33.7
"Harbin, China",City,2018,36.4
"Phra Samut Chedi, Thailand",City,2018,31.1
"Huai'an, China",City,2018,33.6
"Jieshou, China",City,2018,33.5
"Varamin, Iran",City,2018,33.25
"Zivinice, Bosnia Herzegovina",City,2018,34.0
"Yudong, China",City,2018,31.366666666666664
"Haldia, India",City,2018,29.65
"Bandung, Indonesia",City,2018,33.3
"Coronel, Chile",City,2018,19.0
"Tuzla, Bosnia Herzegovina",City,2018,43.1
"Yongchuan, China",City,2018,31.76666666666667
"Wuda, China",City,2018,33.2
"Hancheng, China",City,2018,32.9
"Hashtgerd, Iran",City,2018,22.1
"Panjin, China",City,2018,36.1
"Yuanlin, Taiwan",City,2018,31.450000000000003
"Bihac, Bosnia Herzegovina",City,2018,33.0
"Prnjavor, Bosnia Herzegovina",City,2018,33.0
"Huanggang, China",City,2018,40.8
"Huangshi, China",City,2018,41.7
"Lintong, China",City,2018,35.5
"Meishan, China",City,2018,36.2
"Dhahran, Saudi Arabia",City,2018,34.8
"Jeddah, Saudi Arabia",City,2018,33.0
"Yongzhou, China",City,2018,46.1
"Vanderbijlpark, South Africa",City,2018,33.8
"Gushu, China",City,2018,32.8
"Liyang, China",City,2018,43.0
"Khorramshahr, Iran",City,2018,31.549999999999997
"Temuco, Chile",City,2018,30.4
"Anqing, China",City,2018,45.4
"Suihua, China",City,2018,35.4
"Rizhao, China",City,2018,41.6
"Hefei, China",City,2018,47.2
"Luan, China",City,2018,44.9
"Liaoyuan, China",City,2018,35.6
"Lvliang, China",City,2018,50.7
"Lake Almanor Country Club, USA",City,2018,18.8
"Fuxin, China",City,2018,36.2
"Saugor, India",City,2018,32.6
"Petaling Jaya, Malaysia",City,2018,25.233333333333334
"Riyadh, Saudi Arabia",City,2018,25.96666666666667
"Gornji Milanovac, Serbia",City,2018,32.5
"Lianyungang, China",City,2018,43.4
"Xining, China",City,2018,41.7
"Pingxiang, China",City,2018,40.7
"Uzice, Serbia",City,2018,31.9
"Sokolac, Bosnia Herzegovina",City,2018,31.9
"Ksawerow, Poland",City,2018,29.766666666666666
"Goczalkowice Zdroj, Poland",City,2018,31.03333333333333
"Baiyin, China",City,2018,37.7
"Chaoyang, China",City,2018,38.2
"Dezful, Iran",City,2018,28.3
"Zhangye, China",City,2018,36.9
"Yebaishou, China",City,2018,31.7
"Tehran, Iran",City,2018,26.1
"Phrae, Thailand",City,2018,30.833333333333332
"Dhankuta, Nepal",City,2018,32.35
"Lucheng, China",City,2018,31.5
"Nazarabad, Iran",City,2018,27.46666666666667
"Lima, Peru",City,2018,28.0
"Guozhen, China",City,2018,33.4
"Liuzhou, China",City,2018,39.4
"Xiannu, China",City,2018,31.3
"Changchun, China",City,2018,32.2
"Jiujiang, China",City,2018,40.2
"Yulin, China",City,2018,35.2
"Kupti, India",City,2018,31.100000000000005
"Gangtok, India",City,2018,31.1
"Kirtipur, Nepal",City,2018,25.55
"Chongqing, China",City,2018,37.3
"Jiuquan, China",City,2018,33.3
"Jinchang, China",City,2018,25.2
"Mashhad, Iran",City,2018,30.6
"Mamazand, Iran",City,2018,31.0
"Si Chiang Mai, Thailand",City,2018,31.0
"Erzincan, Turkey",City,2018,28.85
"Westwood, USA",City,2018,31.0
"Hohhot, China",City,2018,35.3
"Xinyu, China",City,2018,37.7
"Sejzi, Iran",City,2018,22.3
"Linxia, China",City,2018,45.8
"Nanchang, China",City,2018,28.4
"Lipe, Serbia",City,2018,28.549999999999997
"Edenvale, South Africa",City,2018,30.7
"Chizhou, China",City,2018,43.7
"Beichengqu, China",City,2018,30.6
"Haizhou, China",City,2018,30.6
"Nantong, China",City,2018,40.5
"Datong, China",City,2018,36.6
"Zhangjiagang, China",City,2018,39.2
"Panzhihua, China",City,2018,33.1
"Mae Rim, Thailand",City,2018,33.46666666666667
"San Sai, Thailand",City,2018,27.733333333333334
"Chongzuo, China",City,2018,30.8
"Wuhai, China",City,2018,40.5
"Yichun, China",City,2018,38.7
"Ojdula, Romania",City,2018,30.3
"Xuancheng, China",City,2018,43.2
"Robat Karim, Iran",City,2018,30.2
"Chester, USA",City,2018,13.822222222222223
"Traiguen, Chile",City,2018,30.1
"Xuanzhou, China",City,2018,30.1
"Beibei, China",City,2018,28.53333333333333
"Changzhou Qu, China",City,2018,40.9
"Otegen Batyra, Kazakhstan",City,2018,30.1
"Suining, China",City,2018,35.3
"Chaloem Phra Kiat, Thailand",City,2018,32.5
"Ha Tinh, Vietnam",City,2018,31.7
"Guigang, China",City,2018,38.7
"Yinchuan, China",City,2018,39.3
"San Kamphaeng, Thailand",City,2018,29.833333333333332
"Wuxi, China",City,2018,42.8
"Hang Dong, Thailand",City,2018,34.86666666666667
"Jajce, Bosnia Herzegovina",City,2018,29.7
"Sarajevo, Bosnia Herzegovina",City,2018,38.4
"Qingdao, China",City,2018,34.3
"Hubli, India",City,2018,27.45
"Kuwait City, Kuwait",City,2018,56.0
"Benin City, Nigeria",City,2018,29.7
"Sebokeng, South Africa",City,2018,30.633333333333336
"Wanxian, China",City,2018,28.400000000000002
"Amaravati, India",City,2018,35.6
"Baise, China",City,2018,35.7
"Chengde, China",City,2018,39.6
"Jiaonan, China",City,2018,33.6
"Vushtrri, Kosovo",City,2018,31.849999999999998
"As Salimiyah, Kuwait",City,2018,29.4
"Quneitra, Syria",City,2018,29.4
"Bosanska Krupa, Bosnia Herzegovina",City,2018,29.3
"Jiayuguan, China",City,2018,28.1
"Yulin, China",City,2018,35.6
"Xiaolingwei, China",City,2018,29.3
"Elbistan, Turkey",City,2018,29.3
"Jilin, China",City,2018,32.4
"Yadgir, India",City,2018,29.2
"Lincang, China",City,2018,27.4
"New Cairo, Egypt",City,2018,23.55
"Fuling, China",City,2018,28.433333333333334
