Location,2021,2020,2019,2018,Type
"San Juan de Lurigancho, Peru",34.0,22.4,,,City
"Yerevan, Armenia",33.9,24.9,25.5,,City
"Xiaogan, China",33.9,35.9,43.9,43.9,City
"Jiangyin, China",33.9,36.8,41.8,48.8,City
"Thogummi, India",33.9,29.2,34.5,,City
"Chuzhou, China",33.8,39.3,48.4,49.7,City
"Tieling, China",33.8,38.4,40.0,38.2,City
"Andimeshk, Iran",33.8,34.4,32.1,39.2,City
"Arak, Iran",33.8,18.2,21.7,,City
"Ulaanbaatar, Mongolia",33.8,46.6,62.0,58.5,City
"Ekurhuleni, South Africa",33.8,,,,City
"Konya, Turkey",33.8,30.7,33.2,,City
"Abu Dhabi, United Arab Emirates",33.8,23.9,38.4,48.8,City
"Chaohu, China",33.7,,,,City
"Harbin, China",33.7,43.6,39.1,36.4,City
"Phra Samut Chedi, Thailand",33.7,28.5,,,City
"Huai'an, China",33.6,,,,City
"Jieshou, China",33.5,,,,City
"Varamin, Iran",33.5,,33.0,,City
"Zivinice, Bosnia Herzegovina",33.4,34.6,,,City
"Yudong, China",33.4,30.3,30.4,,City
"Haldia, India",33.4,,25.9,,City
"Bandung, Indonesia",33.4,33.2,,,City
"Coronel, Chile",33.3,20.7,11.8,19.0,City
"Tuzla, Bosnia Herzegovina",33.2,32.1,35.3,43.1,City
"Yongchuan, China",33.2,31.8,30.3,,City
"Wuda, China",33.2,,,,City
"Hancheng, China",33.2,35.7,29.8,,City
"Hashtgerd, Iran",33.2,,22.6,22.1,City
"Panjin, China",33.1,34.0,38.7,36.1,City
"Yuanlin, Taiwan",33.1,29.8,,,City
"Bihac, Bosnia Herzegovina",33.0,,,,City
"Prnjavor, Bosnia Herzegovina",33.0,,,,City
"Huanggang, China",33.0,35.8,41.0,40.8,City
"Huangshi, China",33.0,35.0,40.6,41.7,City
"Lintong, China",33.0,37.4,36.1,,City
"Meishan, China",33.0,31.4,35.2,36.2,City
"Dhahran, Saudi Arabia",33.0,36.6,,,City
"Jeddah, Saudi Arabia",33.0,,,,City
"Yongzhou, China",32.9,32.9,38.4,46.1,City
"Vanderbijlpark, South Africa",32.9,,34.7,,City
"Gushu, China",32.8,,,,City
"Liyang, China",32.8,35.6,41.2,43.0,City
"Khorramshahr, Iran",32.8,30.3,,,City
"Temuco, Chile",32.7,20.6,20.2,30.4,City
"Anqing, China",32.7,34.9,45.5,45.4,City
"Suihua, China",32.7,39.1,37.1,35.4,City
"Rizhao, China",32.7,37.5,46.2,41.6,City
"Hefei, China",32.6,36.0,43.8,47.2,City
"Luan, China",32.6,37.0,41.9,44.9,City
"Liaoyuan, China",32.6,38.9,37.6,35.6,City
"Lvliang, China",32.6,36.0,40.1,50.7,City
"Lake Almanor Country Club, USA",32.6,,5.0,,City
"Fuxin, China",32.5,35.1,36.3,36.2,City
"Saugor, India",32.5,32.7,,,City
"Petaling Jaya, Malaysia",32.5,23.6,19.6,,City
"Riyadh, Saudi Arabia",32.5,23.3,22.1,,City
"Gornji Milanovac, Serbia",32.5,,,,City
"Lianyungang, China",32.2,36.1,42.1,43.4,City
"Xining, China",32.2,33.0,33.3,41.7,City
"Pingxiang, China",32.1,30.6,36.9,40.7,City
"Uzice, Serbia",32.1,31.7,,,City
"Sokolac, Bosnia Herzegovina",31.9,,,,City
"Ksawerow, Poland",31.9,28.7,28.7,,City
"Goczalkowice Zdroj, Poland",31.9,31.6,29.6,,City
"Baiyin, China",31.8,28.7,31.1,37.7,City
"Chaoyang, China",31.8,35.6,36.0,38.2,City
"Dezful, Iran",31.8,27.1,26.0,,City
"Zhangye, China",31.7,34.3,31.8,36.9,City
"Yebaishou, China",31.7,,,,City
"Tehran, Iran",31.7,29.0,25.9,26.1,City
"Phrae, Thailand",31.7,29.5,31.3,,City
"Dhankuta, Nepal",31.6,33.1,,,City
"Lucheng, China",31.5,,,,City
"Nazarabad, Iran",31.5,26.1,24.8,,City
"Lima, Peru",31.5,18.0,23.7,28.0,City
"Guozhen, China",31.4,35.5,33.3,,City
"Liuzhou, China",31.3,28.9,34.4,39.4,City
"Xiannu, China",31.3,,,,City
"Changchun, China",31.2,40.4,36.7,32.2,City
"Jiujiang, China",31.1,36.6,43.9,40.2,City
"Yulin, China",31.1,32.7,33.0,35.2,City
"Kupti, India",31.1,28.0,34.2,,City
"Gangtok, India",31.1,,,,City
"Kirtipur, Nepal",31.1,,20.0,,City
"Chongqing, China",31.0,31.7,37.1,37.3,City
"Jiuquan, China",31.0,30.1,27.6,33.3,City
"Jinchang, China",31.0,21.2,20.8,25.2,City
"Mashhad, Iran",31.0,25.6,25.1,30.6,City
"Mamazand, Iran",31.0,,,,City
"Si Chiang Mai, Thailand",31.0,,,,City
"Erzincan, Turkey",31.0,26.7,,,City
"Westwood, USA",31.0,,,,City
"Hohhot, China",30.8,39.4,36.4,35.3,City
"Xinyu, China",30.8,29.9,35.1,37.7,City
"Sejzi, Iran",30.8,,23.7,22.3,City
"Linxia, China",30.7,29.0,30.8,45.8,City
"Nanchang, China",30.7,32.5,34.9,28.4,City
"Lipe, Serbia",30.7,26.4,,,City
"Edenvale, South Africa",30.7,,,,City
"Chizhou, China",30.6,33.6,42.4,43.7,City
"Beichengqu, China",30.6,,,,City
"Haizhou, China",30.6,,,,City
"Nantong, China",30.6,33.5,37.7,40.5,City
"Datong, China",30.6,31.2,32.3,36.6,City
"Zhangjiagang, China",30.5,34.5,40.0,39.2,City
"Panzhihua, China",30.5,28.8,29.1,33.1,City
"Mae Rim, Thailand",30.5,33.0,36.9,,City
"San Sai, Thailand",30.5,34.0,18.7,,City
"Chongzuo, China",30.4,25.6,29.1,30.8,City
"Wuhai, China",30.4,33.7,31.3,40.5,City
